ID	予測	正解	予測確率
0	e	e	0.924
1	b	b	0.956
2	b	b	0.387
3	b	b	0.981
4	e	e	0.870
5	e	e	0.526
6	b	b	0.736
7	e	e	0.776
8	e	e	0.893
9	e	e	0.898
10	e	e	0.493
11	e	e	0.903
12	b	b	0.915
13	e	e	0.886
14	e	e	0.698
15	b	b	0.473
16	b	b	0.754
17	e	e	0.854
18	b	b	0.422
19	e	e	0.759
20	e	e	0.921
21	e	e	0.927
22	e	e	0.442
23	b	m	0.612
24	e	e	0.973
25	e	e	0.829
26	e	e	0.627
27	b	b	0.665
28	t	t	0.474
29	m	m	0.652
30	e	e	0.708
31	t	t	0.522
32	e	e	0.882
33	e	e	0.750
34	b	b	0.698
35	b	b	0.916
36	e	t	0.392
37	e	e	0.902
38	b	b	0.954
39	b	b	0.951
40	e	e	0.906
41	e	e	0.583
42	b	b	0.756
43	b	b	0.836
44	b	t	0.691
45	e	m	0.344
46	e	e	0.515
47	t	t	0.719
48	b	b	0.968
49	t	b	0.797
50	b	b	0.997
51	t	t	0.480
52	b	b	0.830
53	b	b	0.822
54	e	t	0.404
55	b	b	0.875
56	b	b	0.967
57	e	e	0.937
58	b	b	0.840
59	b	b	0.900
60	t	t	0.741
61	e	e	0.794
62	b	b	0.755
63	b	b	0.942
64	e	e	0.820
65	e	e	0.829
66	b	e	0.516
67	b	b	0.601
68	t	t	0.637
69	b	b	0.740
70	b	b	0.679
71	e	e	0.799
72	t	t	0.374
73	b	b	0.913
74	m	m	0.784
75	e	e	0.940
76	e	b	0.642
77	b	b	0.923
78	b	b	0.715
79	b	b	0.447
80	b	b	0.983
81	b	b	0.919
82	e	e	0.646
83	e	e	0.701
84	e	e	0.968
85	e	b	0.406
86	b	b	0.950
87	b	b	0.858
88	b	b	0.978
89	b	b	0.934
90	t	t	0.908
91	e	e	0.970
92	b	b	0.631
93	e	e	0.957
94	b	b	0.836
95	b	b	0.962
96	e	e	0.842
97	e	e	0.894
98	e	e	0.879
99	b	b	0.985
100	e	e	0.945
101	b	b	0.728
102	b	b	0.480
103	m	m	0.877
104	b	b	0.927
105	b	e	0.898
106	e	e	0.997
107	b	b	0.814
108	b	b	0.852
