記述をする	を と	記述 主体
注目を集める	が を	ある その後 サポートベクターマシン 注目
経験を行う	を に を	経験 元 学習
学習を行う	を に を	経験 元 学習
流行を超える	を	流行
学習を繰り返す	を	学習
進化を見せる	て は て において を	活躍しいる 特に 敵対的生成ネットワーク 加え 生成技術 進化
進化をいる	て は て において を	活躍しいる 特に 敵対的生成ネットワーク 加え 生成技術 進化
開発を行う	は を	製作した エイダ・ラブレス 開発
テストをする	を	テスト
処理を行う	を	適用し 処理
処理をせる	を	適用し 処理
意味をする	に を	データ 意味
研究を進める	て を	費やし 研究
命令をする	を で	命令 直接 機構
運転をする	に を	増やし 元 運転
特許をする	まで に が を	2018年 日本 特許
特許をいる	まで に が を	2018年 日本 特許
研究をする	を	研究
運転をする	て に を	基づい 柔軟 運転
注目を集める	から は を	世界初であった こと ファジィ 関わらず 注目
成功を受ける	を	成功
制御をする	から を	少なさ 制御 多少
進歩を担う	を	進歩
研究を続ける	が て を	ジェフホーキンス 向け 研究
研究をいる	が て を	ジェフホーキンス 向け 研究
注目を集める	に を	急速 注目
普及を受ける	を	普及
投資を行う	に で を	全世界的 民間企業主導 投資
探索を行う	で を	実装し 無報酬 探索
推論をする	を て	推論 経
研究を行う	て を	いう 始めおり 研究
研究をいる	て を	いう 始めおり 研究
実験をする	を	実験
投資をする	は まで に を	韓国 2022年 投資
反乱を起こす	て に対して を	於い 人間 反乱
弾圧を併せ持つ	を	弾圧
監視を行う	まで を に	推し進められ 歩行者 監視 人工知能
監視をせる	まで を に	推し進められ 歩行者 監視 人工知能
差別を認める	を	差別
研究をする	を	研究
展開を変える	を	展開
戦争をする	を	戦争
戦争をせる	を	戦争
判断を介す	から を	観点 判断
禁止を求める	に は が を	記された 4月 ヒューマン・ライツ・ウォッチ 禁止
禁止をいる	に は が を	記された 4月 ヒューマン・ライツ・ウォッチ 禁止
運用をめぐる	を	運用
記録をする	を	記録
試験を行う	を	試験
追及を受ける	て で は とともに と で を	なった 暴露されおり 公聴会  拒否する 整合性 追及
解任をする	て は を	発表した しかし 含まれおり Google社員ら 解任
解散をする	は が で を	要請した 4月4日 Google 倫理委員会 理由 解散
実現をする	を	実現
話をする	は を	哲学者 みんな 話
話をいる	は を	哲学者 みんな 話
勘違いをする	を	勘違い
議論を行う	まで を	これ けっこう 長時間 議論
議論をくる	まで を	これ けっこう 長時間 議論
