代わる	を に	知的行動を 人間に
する	を	推論・判断を
用いる	を	記号処理を
する	を と	記述を 主体と
集める	が を	「サポートベクターマシン」が 注目を
行う	を に を	経験を 元に 学習を
超える	を	流行を
繰り返す	を	学習を
する	て で は を を に を通して	なされている。 ACT-Rでは、 ACT-Rでは、 推論ルールを、 統計的学習を 元に 生成規則を通して
いる	て は て において を	活躍している。 （敵対的生成ネットワーク）は、 加えて、 生成技術において 進化を
いく	を	コンテンツ生成を
行う	は を	エイダ・ラブレスは 開発を
する	を	テストを
せる	を	処理を
せる	に により に を	同年に、 ティム・バーナーズ＝リーにより、 Webに 知的処理を
する	に を	データに 意味を
せる	て に を	付加して、 コンピュータに 知的処理を
進める	て を	費やして 研究を
する	を で	命令を 機構で
する	に を	元に 運転を
いる	まで に が を	2018年までに 2018年までに 日本が 特許を
する	を	研究を
する	て に を	基づいて、 柔軟に 運転を
集める	から は を	ことから、 ファジィは 注目を
する	を	ニューロファジィ制御を
受ける	を	成功を
用いる	て も を	受けて、 他社も 知的制御を
する	から を	少なさから、 制御を
する	を	知的制御を
担う	を	進歩を
果たす	に で が を	2012年に 画像処理コンテストで チームが 精度改善を
使う	を	専用プログラムを
いる	が て を	ジェフ・ホーキンスが、 向けて 研究を
する	に は を	8月には、 8月には、 記号接地問題(シンボルグラウンディング問題)を
集める	に を	急速に 注目を
受ける	を	普及を
組み合わせる	を	機械学習を
行う	に で を	全世界的に 民間企業主導で 投資を
行う	で を	無報酬で 探索を
する	を て	推論を 経て
おる	は とも を	Googleは、 マックスプランク研究所とも 共同研究を
いる	て を	始めており、 研究を
てる	で は で を	中国では 中国では 官民一体で 研究開発を
する	を	実験を
いる	で を	日本で 研究開発を
する	は まで に を	韓国は、 2022年までに 2022年までに 投資を
する	を	深層学習を
行う	を	脳シミュレーションを
起こす	て に対して を	於いて、 人間に対して 反乱を
併せ持つ	を	弾圧を
せる	まで を に	歩行者まで 監視を 人工知能に
経る	を を	ウイグル族を 法的手続きを
認める	を	差別を
する	を	研究を
変える	を	展開を
せる	を	戦争を
おる	は を	AIプログラムは ファジィ制御を
介す	から を	観点から 判断を
いる	に は が を	4月には 4月には ヒューマン・ライツ・ウォッチが、 禁止を
めぐる	を	運用を
いる	は を をめぐって	米国・中国・ロシアは 開発競争を 軍事利用をめぐって
する	を	記録を
行う	を	試験を
受ける	て で は とともに と で を	暴露されており、 公聴会では、 公聴会では、 「」とともに、 拒否すると 整合性で 追及を
する	が を	Microsoftが 共同研究を
する	て は を	含まれており、 Google社員らは 解任を
する	は が で を	Googleは 倫理委員会が 理由で、 解散を
見いだす	に を	ものに 霊的存在を
いる	を	道)」を
する	を	実現を
いる	は を	哲学者は 話を
行う	を	意思疎通を
する	を	勘違いを
くる	まで を	「これまで 議論を
